Route_id,Dari,Sampai,Jalur,Lajur,"Tanggal
 Pelaksanaan",Keterangan
motorway,4+600,4+800,A,0,2025-05-24,Scrapping Filling AC BC
motorway,,,A,2,2025-05-24,Scrapping Filling AC WC
motorway,,,B,1,2024-06-19,Scraping Filling AC WC
motorway,4+800,5+000,A,3,2026,Scrapping Filling
motorway,,,B,1,2024-06-19,Scraping Filling AC WC
motorway,5+000,5+200,A,3,2026,Scrapping Filling
motorway,,,B,2,2024-06-07,Scraping Filling AC WC
motorway,5+200,5+400,B,3,2026,Scrapping Filling
motorway,5+400,5+600,A,2,2026,Scrapping Filling
motorway,,,A,3,2026,Scrapping Filling
motorway,,,B,1,2024-06-05,Scraping Filling AC WC
motorway,5+600,5+800,A,2,2026,Scrapping Filling
motorway,,,A,3,2026,Scrapping Filling
motorway,,,B,1,2024-06-01,Scraping Filling AC WC
motorway,5+800,6+000,A,2,2026,Scrapping Filling
motorway,,,B,1,2024-06-03,
motorway,6+000,6+200,A,2,2026,Scrapping Filling
motorway,,,B,0,2024-06-03,Scraping Filling AC BC
motorway,,,B,1,2024-06-03,
motorway,6+200,6+400,A,2,2026,Scrapping Filling
motorway,,,B,1,2024-06-04,Scraping Filling AC WC
motorway,6+400,6+600,A,2,2026,Scrapping Filling
motorway,,,B,1,2024-06-04,Scraping Filling AC WC
motorway,6+600,6+800,A,1,2025-08-04,Scraping Filling AC WC
motorway,,,B,1,2023,Scraping Filling AC WC
motorway,,,B,2,2023,Scraping Filling AC WC
motorway,6+800,7+000,A,2,2024-06-29,Scraping Filling AC WC
motorway,,,B,2,2024-09-12,Scraping Filling AC WC
motorway,7+000,7+200,A,2,2024-06-29,Scraping Filling AC WC
motorway,,,B,2,2024-09-12,Scraping Filling AC WC
motorway,7+200,7+400,B,1,2023,Scraping Filling AC WC
motorway,,,B,2,2023,Scraping Filling AC WC
motorway,,,B,3,2023,Scraping Filling AC WC
motorway,7+400,7+600,B,1,2023,Scraping Filling AC WC
motorway,7+600,7+800,B,1,2023,Scraping Filling AC WC
motorway,7+800,8+000,A,3,2024-07-02,Scraping Filling AC WC
motorway,,,B,0,2024-05-31,
motorway,,,B,0,2024-05-31,Scraping Filling AC BC
motorway,8+000,8+200,A,2,2024-07-01,Scraping Filling AC WC
motorway,,,B,0,2024-05-31,Scraping Filling AC BC
motorway,8+200,8+400,A,3,2026,Scrapping Filling
motorway,,,B,0,2024-05-28,Scraping Filling AC BC
motorway,8+400,8+600,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,8+600,8+800,A,3,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,8+800,9+000,A,0,2025-09-22,Scraping Filling AC BC
motorway,,,B,3,2026,Scrapping Filling
motorway,9+000,9+200,A,2,2025-09-22,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,9+200,9+400,A,1,2025-09-23,Scraping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,,,B,0,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,9+400,9+600,A,0,2025-10-02,Scrapping Filling AC BC
motorway,,,B,0,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,,,TRANSISI OFFRAMP SATELIT B,1,2024-05-30,Scraping Filling AC WC
motorway,9+600,9+800,B,1,2025-10-22,Scrapping Filling AC WC
motorway,,,TRANSISI OFFRAMP SATELIT B,1,2024-05-30,Scraping Filling AC WC
motorway,9+800,10+000,B,1,2025-10-22,Scrapping Filling AC WC
motorway,10+000,10+200,A,2,2026,Scrapping Filling
motorway,,,B,0,2024-05-27,
motorway,,,B,0,2024-05-27,Scraping Filling AC BC
motorway,10+200,10+400,A,2,2026,Scrapping Filling
motorway,,,B,0,2024-05-27,
motorway,10+400,10+600,A,2,2026,Scrapping Filling
motorway,,,B,0,2024-05-27,
motorway,10+600,10+800,A,2,2026,Scrapping Filling
motorway,,,B,3,2026,Scrapping Filling
motorway,10+800,11+000,A,2,2025-05-10,Scrapping Filling AC WC
motorway,,,B,3,2026,Scrapping Filling
motorway,11+000,11+200,A,0,2025-08-10,Scraping Filling AC BC
motorway,,,B,0,2024-05-24,Scraping Filling AC BC
motorway,,,B,1,2024-05-24,Scraping Filling AC WC
motorway,11+200,11+400,A,0,2025-08-12,Scraping Filling AC BC
motorway,,,B,0,2024-05-24,Scraping Filling AC BC
motorway,,,B,1,2024-05-24,Scraping Filling AC WC
motorway,11+400,11+600,A,0,2025-09-12,Scraping Filling AC BC
motorway,,,B,2,2024-05-19,Scraping Filling AC WC
motorway,11+600,11+800,A,0,2025-09-12,Scraping Filling AC BC
motorway,,,B,1,2024-05-17,Scraping Filling AC WC
